Regn_Cd,Regn_Nm,Dstrc_C,Dstrc_N,Ward_Cd,Ward_Nm,WardCod,ttl_bth,totl_ml,totl_fm,Ar_kmsq,wwid,ID_ward,Yr_bttn,Mnth_bt,id_year,id_yr_m,Date,bit_cnt,dth_cnt,nwctgry,prtctd_,lnd_cvr,pvrty_n,elevatn,pop_den,dogpop,vdogs
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2007,11,2,23,2007-11-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1172,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2007,12,2,24,2007-12-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1174,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,1,3,25,2008-01-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1177,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,2,3,26,2008-02-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1179,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,3,3,27,2008-03-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1180,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,4,3,28,2008-04-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1182,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,5,3,29,2008-05-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1183,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,6,3,30,2008-06-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1186,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,7,3,31,2008-07-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1188,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,8,3,32,2008-08-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1190,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,9,3,33,2008-09-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1192,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,10,3,34,2008-10-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1194,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,11,3,35,2008-11-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1196,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2008,12,3,36,2008-12-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1197,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,1,4,37,2009-01-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1199,0
